id,support,acc_05,f1_05,acc_tuned,f1_tuned
483,32,0.65625,0.5217391304347826,0.65625,0.5217391304347826
229,32,0.75,0.6666666666666666,0.75,0.6666666666666666
514,32,0.78125,0.6666666666666666,0.78125,0.6666666666666666
522,32,0.78125,0.6666666666666666,0.78125,0.6666666666666666
524,32,0.78125,0.6666666666666666,0.78125,0.6666666666666666
525,32,0.84375,0.7619047619047619,0.84375,0.7619047619047619
528,32,0.78125,0.6666666666666666,0.78125,0.6666666666666666
481,32,0.65625,0.47619047619047616,0.65625,0.47619047619047616
232,32,0.78125,0.5333333333333333,0.78125,0.5333333333333333
202,32,0.75,0.6666666666666666,0.75,0.6666666666666666
532,32,0.78125,0.6666666666666666,0.78125,0.6666666666666666
534,32,0.71875,0.5714285714285714,0.71875,0.5714285714285714
195,32,0.65625,0.5217391304347826,0.65625,0.5217391304347826
233,32,0.78125,0.6956521739130435,0.78125,0.6956521739130435
479,32,0.71875,0.5714285714285714,0.71875,0.5714285714285714
237,32,0.71875,0.5714285714285714,0.71875,0.5714285714285714
190,32,0.625,0.5384615384615384,0.625,0.5384615384615384
187,32,0.6875,0.5833333333333334,0.6875,0.5833333333333334
546,32,0.71875,0.6086956521739131,0.71875,0.6086956521739131
551,32,0.8125,0.7,0.8125,0.7
182,32,0.65625,0.5925925925925926,0.65625,0.5925925925925926
476,32,0.78125,0.6666666666666666,0.78125,0.6666666666666666
239,32,0.6875,0.6153846153846154,0.6875,0.6153846153846154
179,32,0.6875,0.5833333333333334,0.6875,0.5833333333333334
475,32,0.71875,0.6086956521739131,0.71875,0.6086956521739131
474,32,0.71875,0.5714285714285714,0.71875,0.5714285714285714
560,32,0.75,0.6363636363636364,0.75,0.6363636363636364
491,32,0.78125,0.6956521739130435,0.78125,0.6956521739130435
498,32,0.5625,0.125,0.5625,0.125
744,32,0.6875,0.6153846153846154,0.6875,0.6153846153846154
25,32,0.75,0.6363636363636364,0.75,0.6363636363636364
359,32,0.78125,0.72,0.78125,0.72
736,32,0.71875,0.6666666666666666,0.71875,0.6666666666666666
