id,support,acc_05,f1_05,acc_tuned,f1_tuned
731,32,0.96875,0.9629629629629629,0.96875,0.9629629629629629
399,32,0.90625,0.896551724137931,0.90625,0.896551724137931
400,32,0.96875,0.967741935483871,0.96875,0.967741935483871
86,32,0.90625,0.896551724137931,0.90625,0.896551724137931
417,32,0.96875,0.9655172413793104,0.96875,0.9655172413793104
98,32,0.9375,0.9285714285714286,0.9375,0.9285714285714286
278,32,0.96875,0.9629629629629629,0.96875,0.9629629629629629
804,32,0.96875,0.9629629629629629,0.96875,0.9629629629629629
8,32,0.84375,0.8148148148148148,0.84375,0.8148148148148148
93,32,0.96875,0.9629629629629629,0.96875,0.9629629629629629
799,32,0.96875,0.9629629629629629,0.96875,0.9629629629629629
288,32,0.96875,0.9629629629629629,0.96875,0.9629629629629629
401,32,0.9375,0.9333333333333333,0.9375,0.9333333333333333
694,32,1.0,1.0,1.0,1.0
85,32,0.875,0.8571428571428571,0.875,0.8571428571428571
798,32,0.96875,0.9629629629629629,0.96875,0.9629629629629629
82,32,0.9375,0.9375,0.9375,0.9375
81,32,0.96875,0.9565217391304348,0.96875,0.9565217391304348
404,32,0.96875,0.967741935483871,0.96875,0.967741935483871
78,32,0.9375,0.9375,0.9375,0.9375
293,32,0.96875,0.9629629629629629,0.96875,0.9629629629629629
705,32,0.96875,0.9655172413793104,0.96875,0.9655172413793104
403,32,0.9375,0.9285714285714286,0.9375,0.9285714285714286
780,32,0.9375,0.9285714285714286,0.9375,0.9285714285714286
482,24,0.75,0.4,0.75,0.4
353,24,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.6363636363636364
487,24,0.9166666666666666,0.9285714285714286,0.9166666666666666,0.9285714285714286
349,24,0.7083333333333334,0.2222222222222222,0.7083333333333334,0.2222222222222222
358,24,1.0,1.0,1.0,1.0
421,24,0.875,0.7692307692307693,0.875,0.7692307692307693
379,24,1.0,1.0,1.0,1.0
386,24,1.0,1.0,1.0,1.0
388,24,1.0,1.0,1.0,1.0
396,24,0.9166666666666666,0.9285714285714286,0.9166666666666666,0.9285714285714286
468,24,0.8333333333333334,0.8461538461538461,0.8333333333333334,0.8461538461538461
397,24,0.875,0.8888888888888888,0.875,0.8888888888888888
402,24,1.0,1.0,1.0,1.0
405,24,1.0,1.0,1.0,1.0
406,24,0.9166666666666666,0.9230769230769231,0.9166666666666666,0.9230769230769231
407,24,0.9166666666666666,0.9230769230769231,0.9166666666666666,0.9230769230769231
409,24,0.9166666666666666,0.9230769230769231,0.9166666666666666,0.9230769230769231
412,24,0.9583333333333334,0.96,0.9583333333333334,0.96
438,24,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9629629629629629
437,24,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9629629629629629
