id,ps,dprime_h,dprime_s,n_signal,n_noise,mean_H|S,mean_H|N,mean_S|S,mean_S|N,sd_H|S,sd_H|N,sd_S|S,sd_S|N,abs_err_H|S,abs_err_H|N,abs_err_S|S,abs_err_S|N
51,0.2,1.3,1.7,24,96,0.6499999999999999,-0.6499999999999999,0.85,-0.85,0.90540817121955,1.1204347835112811,0.9515614252737611,1.0960654203015083,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0
52,0.2,1.3,1.9,24,96,0.65,-0.65,0.9500000000000002,-0.9500000000000001,1.116939884710564,0.9700203378285929,0.9746553342975102,0.9397773733286693,0.0,0.0,2.220446049250313e-16,1.1102230246251565e-16
53,0.2,1.3,2.1,24,96,0.65,-0.65,1.05,-1.05,1.2082583865811436,0.9785576480505437,0.9645309219132887,1.021601622963115,0.0,0.0,0.0,0.0
54,0.2,1.3,2.3,24,96,0.65,-0.65,1.1500000000000001,-1.1499999999999997,1.2321619705978255,0.8735640725862023,0.9649019297925105,0.9465615809354151,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
55,0.2,1.3,2.5,24,96,0.65,-0.6499999999999999,1.25,-1.25,0.8840487523648488,0.9875169051575615,0.9584167874856246,1.0820121145854447,0.0,1.1102230246251565e-16,0.0,0.0
56,0.2,1.5,0.5,24,96,0.75,-0.7500000000000001,0.25,-0.25,1.0475559949254332,0.9179666237875843,0.8679039987074255,0.9798283070171582,0.0,1.1102230246251565e-16,0.0,0.0
57,0.2,1.5,0.7,24,96,0.75,-0.75,0.3499999999999999,-0.3499999999999999,0.6778138557810894,0.8932605022629513,0.9338771867440311,0.8737087159016224,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17
58,0.2,1.5,0.9,24,96,0.75,-0.75,0.45,-0.44999999999999996,1.1456111811899818,0.8759450850817029,0.9591179387730382,0.9797272796940935,0.0,0.0,0.0,5.551115123125783e-17
59,0.2,1.5,1.1,24,96,0.75,-0.7499999999999999,0.5500000000000002,-0.5500000000000002,1.1523995019491318,1.0157752697705626,0.893232552505389,1.0043551882404431,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
60,0.2,1.5,1.3,24,96,0.75,-0.7499999999999999,0.65,-0.6499999999999999,1.0158029025026905,0.980684308869147,1.0066116574704298,1.0100352386189664,0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16
61,0.2,1.5,1.5,24,96,0.75,-0.75,0.75,-0.7500000000000001,0.9713043665284705,1.0138544736438408,0.9284754189095471,0.9471194191050996,0.0,0.0,0.0,1.1102230246251565e-16
62,0.2,1.5,1.7,24,96,0.75,-0.75,0.8499999999999998,-0.85,1.1255363631414723,0.8691677949734857,1.100706212458752,0.9907765407073964,0.0,0.0,2.220446049250313e-16,0.0
