id,early_userS,late_userS,delta_userS,early_evtS,late_evtS,delta_evtS
742,0.0,0.0,0.0,0.375,0.0,-0.375
744,0.0,0.5625,0.5625,0.0,0.4375,0.4375
745,0.0,0.5625,0.5625,0.0,0.4375,0.4375
746,0.08333333333333333,0.4166666666666667,0.33333333333333337,0.16666666666666666,0.4166666666666667,0.25
748,0.08333333333333333,0.4166666666666667,0.33333333333333337,0.16666666666666666,0.4166666666666667,0.25
749,0.0,0.5,0.5,0.0,0.4375,0.4375
750,0.08333333333333333,0.5,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
753,0.0,0.5,0.5,0.0,0.4375,0.4375
755,0.0,0.5,0.5,0.0,0.4375,0.4375
756,0.375,1.0,0.625,0.375,0.375,0.0
757,0.0,0.5,0.5,0.0,0.4375,0.4375
759,0.08333333333333333,0.4166666666666667,0.33333333333333337,0.16666666666666666,0.4166666666666667,0.25
762,0.0,0.5625,0.5625,0.0,0.4375,0.4375
764,0.0,0.0,0.0,0.16666666666666666,0.4166666666666667,0.25
766,0.0,0.5,0.5,0.0,0.4375,0.4375
767,0.0,0.5625,0.5625,0.0,0.4375,0.4375
769,0.0625,0.4375,0.375,0.0,0.4375,0.4375
770,0.08333333333333333,0.4166666666666667,0.33333333333333337,0.16666666666666666,0.4166666666666667,0.25
771,0.1875,0.5625,0.375,0.0625,0.4375,0.375
774,0.1875,0.5625,0.375,0.0625,0.4375,0.375
778,0.375,0.375,0.0,0.625,0.125,-0.5
779,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
780,0.1875,0.625,0.4375,0.0625,0.4375,0.375
781,0.16666666666666666,0.5,0.33333333333333337,0.16666666666666666,0.4166666666666667,0.25
782,0.16666666666666666,0.4166666666666667,0.25,0.16666666666666666,0.4166666666666667,0.25
783,0.0,0.5,0.5,0.0,0.4375,0.4375
784,0.0,0.5625,0.5625,0.0,0.4375,0.4375
786,0.16666666666666666,0.5,0.33333333333333337,0.16666666666666666,0.4166666666666667,0.25
790,0.16666666666666666,0.4166666666666667,0.25,0.16666666666666666,0.4166666666666667,0.25
797,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
798,0.1875,0.5,0.3125,0.0625,0.4375,0.375
799,0.1875,0.5,0.3125,0.0625,0.4375,0.375
801,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
804,0.1875,0.5,0.3125,0.0625,0.4375,0.375
805,0.16666666666666666,0.4166666666666667,0.25,0.16666666666666666,0.4166666666666667,0.25
808,0.16666666666666666,0.4166666666666667,0.25,0.16666666666666666,0.4166666666666667,0.25
